Key,Tags
1.1.1,"Stromkreis, elektrischer Stromkreis, Energie transportieren, Elektronen, Energietransport, Ladungstransport, elektrische Leiter, Transportmedium, Funktion elektrischer Stromkreis"
1.1.2,"Wirkung elektrischer Stromkreis, Wärmewirkung, Lichtwirkung, Magnetische Wirkung, Chemische Wirkung, Widerstand, Umwandlung, thermische Energie, Abstrahlung, Magnetfeld, elektrischer Stromkreis, Stromkreis, Elektrolyse, Ionisierung,"
1.1.3,"Ladung, Stromstärke, Ladungsmenge, Landungsträger, Querschnitt"
1.1.4,"Spannungserzeugung, Spannung, elektrische Spannung, Ladungstrennung, elektrisches Potential, chemische Prozesse, photoelektrischen Effekt, elektromagnetische Induktion"
1.1.5,"Stromrichtung, technische Stromrichtung, Pluspol, Minuspol, physikalische Stromrichtung, Richtung des Stroms, Elektronen"
1.1.6,"elektrische Ladung, Q, Ladung berechnen, Coulomb"
1.1.7,"Kapazität, C, Kapazität berechnen, Farad"
1.1.8,"elektrische Ladung, Q, Ladung berechnen, Coulomb"
1.1.9,"Stromstärke, I, Stromstärke berechnen, Strom, Ampere"
1.1.10,"Umrechnung Strom, Umrechnung Stromstärke, I, Strom, Stromstärke, Stromstärke berechnen, Ampere"
1.1.11,"Ohmsches Gesetz, U, I, R, URI, Formel"
1.1.12,"Kurzschluss, Leerlauf, Wiederstand klein, kein Verbraucher, hohe Stromstärke, Schäden, Erhitzung der Leiter, Spannungsquelle, nicht geschlossen, Stromkreis, hoher Widerstand, kein Strom fließt"
1.1.13,"reale, ideale, Spannungsquelle, Innenwiderstand, Ri, keinen Innwiderstand, unabhängig von Last"
1.1.14,"Spannung, elektrische Spannung, Potentialdifferenz, elektrisches Feld, elektrisches Potential, Ladung bewegen, Potentialunterschied, U, Volt"
1.1.15,"elektrisches Potential, Potential, relativen Energiezustand, Ladung,"
1.1.16,"Ohmsches Gesetz, U, I, R, URI, Formel, Spannung, Strom, Widerstand"
1.1.17,"Ohmsches Gesetz, U, I, R, URI, Formel, Spannung, Strom, Widerstand"
1.1.18,"Widerstand, fester Wert, Einflüsse nicht ändert, elektrischer Einfluss, physikalischer Einfluss, Festwiderstände"
1.1.19,"Arten Festwiderstände, Drahtwiderstände, Schichtwiderstände, Festwiderstände"
